mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111136945	26	111136945	LOC111136945	uncharacterized LOC111136945	protein-coding	Symbol
LOC111137141	26	111137141	LOC111137141	homeobox protein cut-like 1	protein-coding	Symbol
LOC111137168	26	111137168	LOC111137168	uncharacterized LOC111137168	protein-coding	Symbol
LOC111138367	26	111138367	LOC111138367	E3 ubiquitin-protein ligase TM129-like	protein-coding	Symbol
LOC111101041	25	111101041	LOC111101041	V-type proton ATPase subunit B	protein-coding	Symbol
LOC111103388	25	111103388	LOC111103388	trophoblast glycoprotein-like	protein-coding	Symbol
LOC111106076	25	111106076	LOC111106076	DNA/RNA-binding protein KIN17-like	protein-coding	Symbol
LOC111106207	25	111106207	LOC111106207	uncharacterized LOC111106207	protein-coding	Symbol
LOC111108171	25	111108171	LOC111108171	uncharacterized LOC111108171	protein-coding	Symbol
LOC111108199	25	111108199	LOC111108199	serine/threonine-protein kinase B-raf-like	protein-coding	Symbol
LOC111108515	25	NA	NA	NA	NA	NA
LOC111110014	25	111110014	LOC111110014	uncharacterized LOC111110014	protein-coding	Symbol
LOC111110030	25	111110030	LOC111110030	transmembrane protein 168-like	protein-coding	Symbol
LOC111111174	25	111111174	LOC111111174	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like	protein-coding	Symbol
LOC111112253	25	NA	NA	NA	NA	NA
LOC111112348	25	NA	NA	NA	NA	NA
LOC111113055	25	111113055	LOC111113055	uncharacterized LOC111113055	protein-coding	Symbol
LOC111113398	25	111113398	LOC111113398	uncharacterized LOC111113398	protein-coding	Symbol
LOC111114010	25	111114010	LOC111114010	uncharacterized LOC111114010	pseudo	Symbol
LOC111118604	25	111118604	LOC111118604	protein canopy 4-like	protein-coding	Symbol
LOC111119827	25	111119827	LOC111119827	dnaJ homolog subfamily B member 14-like	protein-coding	Symbol
LOC111121058	25	111121058	LOC111121058	uncharacterized LOC111121058	protein-coding	Symbol
LOC111121737	25	111121737	LOC111121737	histone acetyltransferase KAT6B-like	protein-coding	Symbol
LOC111122836	25	111122836	LOC111122836	dolichyl-phosphate beta-glucosyltransferase-like	protein-coding	Symbol
LOC111123500	25	NA	NA	NA	NA	NA
LOC111123966	25	111123966	LOC111123966	tyrosine-protein kinase Tec-like	protein-coding	Symbol
LOC111124139	25	NA	NA	NA	NA	NA
LOC111124284	25	111124284	LOC111124284	uncharacterized LOC111124284	protein-coding	Symbol
LOC111124676	25	111124676	LOC111124676	ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like	protein-coding	Symbol
LOC111124955	25	111124955	LOC111124955	cullin-1-like	protein-coding	Symbol
LOC111125638	25	NA	NA	NA	NA	NA
LOC111126209	25	111126209	LOC111126209	ubiquitin-conjugating enzyme E2-17 kDa	protein-coding	Symbol
LOC111126357	25	111126357	LOC111126357	L-proline trans-4-hydroxylase-like	protein-coding	Symbol
LOC111126780	25	NA	NA	NA	NA	NA
LOC111128037	25	111128037	LOC111128037	cytochrome P450 2B2-like	protein-coding	Symbol
LOC111128103	25	111128103	LOC111128103	RNA polymerase-associated protein CTR9 homolog	protein-coding	Symbol
LOC111128622	25	111128622	LOC111128622	endonuclease 8-like 1	protein-coding	Symbol
LOC111128798	25	111128798	LOC111128798	universal stress protein Sll1388-like	protein-coding	Symbol
LOC111129320	25	111129320	LOC111129320	adipocyte plasma membrane-associated protein-like	protein-coding	Symbol
LOC111129681	25	111129681	LOC111129681	NPC intracellular cholesterol transporter 2-like	protein-coding	Symbol
LOC111129843	25	111129843	LOC111129843	cell division control protein 42 homolog	protein-coding	Symbol
LOC111129897	25	111129897	LOC111129897	mitochondrial import receptor subunit TOM20 homolog	protein-coding	Symbol
LOC111130105	25	NA	NA	NA	NA	NA
LOC111130358	25	111130358	LOC111130358	E3 ubiquitin-protein ligase arih1-like	protein-coding	Symbol
LOC111131058	25	111131058	LOC111131058	uncharacterized LOC111131058	protein-coding	Symbol
LOC111131459	25	111131459	LOC111131459	uncharacterized LOC111131459	protein-coding	Symbol
LOC111132122	25	111132122	LOC111132122	uncharacterized LOC111132122	protein-coding	Symbol
LOC111133477	25	111133477	LOC111133477	mitochondrial translation release factor in rescue-like	protein-coding	Symbol
LOC111133954	25	111133954	LOC111133954	pre-mRNA-processing-splicing factor 8	protein-coding	Symbol
LOC111134076	25	111134076	LOC111134076	uncharacterized LOC111134076	protein-coding	Symbol
LOC111134103	25	NA	NA	NA	NA	NA
LOC111134247	25	111134247	LOC111134247	tryptophan 5-hydroxylase 1-like	protein-coding	Symbol
LOC111134665	25	111134665	LOC111134665	calcium release-activated calcium channel protein 1-like	protein-coding	Symbol
LOC111134724	25	111134724	LOC111134724	solute carrier family 66 member 2-like	protein-coding	Symbol
LOC111135112	25	111135112	LOC111135112	peroxisomal membrane protein 2-like	protein-coding	Symbol
