mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
LOC111119079	LOC111119079	NA	NA	NA	NA	NA
LOC111119080	LOC111119080	111119080	LOC111119080	uncharacterized LOC111119080	protein-coding	Symbol
LOC111119081	LOC111119081	111119081	LOC111119081	uncharacterized LOC111119081	protein-coding	Symbol
LOC111119082	LOC111119082	NA	NA	NA	NA	NA
LOC111119083	LOC111119083	NA	NA	NA	NA	NA
LOC111119084	LOC111119084	NA	NA	NA	NA	NA
LOC111119085	LOC111119085	111119085	LOC111119085	proton-coupled folate transporter-like	protein-coding	Symbol
LOC111119086	LOC111119086	111119086	LOC111119086	toll-like receptor 4	protein-coding	Symbol
LOC111119087	LOC111119087	111119087	LOC111119087	uncharacterized LOC111119087	protein-coding	Symbol
LOC111119088	LOC111119088	111119088	LOC111119088	putative flavin-containing monoamine oxidase A	protein-coding	Symbol
LOC111119089	LOC111119089	111119089	LOC111119089	uncharacterized LOC111119089	protein-coding	Symbol
LOC111119090	LOC111119090	111119090	LOC111119090	ubiquitin-conjugating enzyme E2 S-like	protein-coding	Symbol
LOC111119091	LOC111119091	111119091	LOC111119091	ADP-ribosylation factor-like protein 6-interacting protein 1	protein-coding	Symbol
LOC111119092	LOC111119092	111119092	LOC111119092	uncharacterized LOC111119092	protein-coding	Symbol
LOC111119093	LOC111119093	111119093	LOC111119093	uncharacterized LOC111119093	protein-coding	Symbol
LOC111119094	LOC111119094	111119094	LOC111119094	leptin receptor gene-related protein-like	protein-coding	Symbol
LOC111119095	LOC111119095	111119095	LOC111119095	uncharacterized LOC111119095	protein-coding	Symbol
LOC111119096	LOC111119096	NA	NA	NA	NA	NA
LOC111119097	LOC111119097	111119097	LOC111119097	uncharacterized LOC111119097	protein-coding	Symbol
LOC111119098	LOC111119098	111119098	LOC111119098	uncharacterized LOC111119098	protein-coding	Symbol
LOC111119099	LOC111119099	111119099	LOC111119099	uncharacterized LOC111119099	protein-coding	Symbol
LOC111119100	LOC111119100	111119100	LOC111119100	uncharacterized LOC111119100	protein-coding	Symbol
LOC111119101	LOC111119101	111119101	LOC111119101	putative E3 ubiquitin-protein ligase UNKL	protein-coding	Symbol
LOC111119102	LOC111119102	111119102	LOC111119102	small G protein signaling modulator 3-like	protein-coding	Symbol
LOC111119103	LOC111119103	111119103	LOC111119103	uncharacterized LOC111119103	protein-coding	Symbol
LOC111119104	LOC111119104	111119104	LOC111119104	uncharacterized LOC111119104	protein-coding	Symbol
LOC111119105	LOC111119105	111119105	LOC111119105	uncharacterized LOC111119105	protein-coding	Symbol
LOC111119106	LOC111119106	111119106	LOC111119106	set1/Ash2 histone methyltransferase complex subunit ASH2-like	protein-coding	Symbol
LOC111119107	LOC111119107	111119107	LOC111119107	glutamate dehydrogenase, mitochondrial-like	protein-coding	Symbol
LOC111119108	LOC111119108	111119108	LOC111119108	3-phosphoinositide-dependent protein kinase 1-like	protein-coding	Symbol
LOC111119109	LOC111119109	111119109	LOC111119109	RYamide receptor-like	protein-coding	Symbol
LOC111119110	LOC111119110	111119110	LOC111119110	FMRFamide receptor-like	protein-coding	Symbol
LOC111119111	LOC111119111	111119111	LOC111119111	RYamide receptor-like	protein-coding	Symbol
LOC111119112	LOC111119112	111119112	LOC111119112	large ribosomal subunit protein uL1-like	protein-coding	Symbol
LOC111119114	LOC111119114	111119114	LOC111119114	progestin and adipoQ receptor family member 3-like	protein-coding	Symbol
LOC111119115	LOC111119115	111119115	LOC111119115	geranylgeranyl pyrophosphate synthase-like	protein-coding	Symbol
LOC111119116	LOC111119116	111119116	LOC111119116	ubiquitin domain-containing protein UBFD1-like	protein-coding	Symbol
LOC111119117	LOC111119117	111119117	LOC111119117	tetraspanin-5-like	protein-coding	Symbol
LOC111119118	LOC111119118	111119118	LOC111119118	uncharacterized LOC111119118	protein-coding	Symbol
LOC111119119	LOC111119119	111119119	LOC111119119	uncharacterized LOC111119119	protein-coding	Symbol
LOC111119120	LOC111119120	111119120	LOC111119120	BTB/POZ domain-containing protein KCTD5-like	protein-coding	Symbol
LOC111119121	LOC111119121	111119121	LOC111119121	uncharacterized LOC111119121	ncRNA	Symbol
LOC111119122	LOC111119122	111119122	LOC111119122	uncharacterized LOC111119122	protein-coding	Symbol
LOC111119123	LOC111119123	111119123	LOC111119123	histone H3.3A	protein-coding	Symbol
LOC111119124	LOC111119124	111119124	LOC111119124	uncharacterized LOC111119124	ncRNA	Symbol
LOC111119125	LOC111119125	NA	NA	NA	NA	NA
LOC111119126	LOC111119126	111119126	LOC111119126	DNA topoisomerase 3-alpha-like	protein-coding	Symbol
LOC111119129	LOC111119129	111119129	LOC111119129	putative thiopurine S-methyltransferase	protein-coding	Symbol
LOC111119130	LOC111119130	111119130	LOC111119130	putative thiopurine S-methyltransferase	protein-coding	Symbol
LOC111119131	LOC111119131	111119131	LOC111119131	neurotrypsin-like	protein-coding	Symbol
LOC111119132	LOC111119132	111119132	LOC111119132	uncharacterized LOC111119132	protein-coding	Symbol
LOC111119134	LOC111119134	111119134	LOC111119134	uncharacterized LOC111119134	protein-coding	Symbol
LOC111119135	LOC111119135	111119135	LOC111119135	transient receptor potential cation channel subfamily M member-like 2	protein-coding	Symbol
LOC111119136	LOC111119136	NA	NA	NA	NA	NA
LOC111119137	LOC111119137	111119137	LOC111119137	uncharacterized LOC111119137	protein-coding	Symbol
LOC111119138	LOC111119138	111119138	LOC111119138	putative phosphatidate phosphatase	protein-coding	Symbol
LOC111119139	LOC111119139	111119139	LOC111119139	adenosine 5'-monophosphoramidase HINT3-like	protein-coding	Symbol
LOC111119140	LOC111119140	111119140	LOC111119140	uncharacterized LOC111119140	protein-coding	Symbol
LOC111119141	LOC111119141	111119141	LOC111119141	adhesion G protein-coupled receptor B1-like	protein-coding	Symbol
LOC111119142	LOC111119142	111119142	LOC111119142	cubilin-like	protein-coding	Symbol
LOC111119143	LOC111119143	111119143	LOC111119143	uncharacterized LOC111119143	protein-coding	Symbol
LOC111119144	LOC111119144	111119144	LOC111119144	uncharacterized LOC111119144	protein-coding	Symbol
LOC111119145	LOC111119145	111119145	LOC111119145	putative ferric-chelate reductase 1	protein-coding	Symbol
LOC111119146	LOC111119146	111119146	LOC111119146	uncharacterized LOC111119146	protein-coding	Symbol
LOC111119147	LOC111119147	111119147	LOC111119147	WD repeat domain phosphoinositide-interacting protein 2-like	protein-coding	Symbol
LOC111119148	LOC111119148	111119148	LOC111119148	rho GTPase-activating protein 44-like	protein-coding	Symbol
LOC111119149	LOC111119149	111119149	LOC111119149	cubilin-like	protein-coding	Symbol
LOC111119150	LOC111119150	NA	NA	NA	NA	NA
