gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
LOC111133665	35.7197	46.1929	36.9953	29.6304	44.9585	37.3059	31.0061	34.9504	30.9202	50.8442	27.1345	28.4829	34.9492	46.8328	37.3035	48.8519	19.2892	45.1905	41.2688	14.9782	29.8585	38.7727	31.1034	30.8312	37.4668	41.5905
LOC111133666	54.633434651897005	56.253498632944	3.084346544444	10.364419999999999	9.222313	57.045761566	17.071141719328	50.14521291229401	13.00193604886	5.78725873298	7.9204637356930006	13.19477823445	13.987683099999998	9.9189405	52.734113	9.979856311342	27.60015759431	9.12183801541	14.0904319552083	10.89489538	28.724376848840002	55.056560839530704	23.82483413935	12.4748988	56.510463478430005	56.9449123478403
LOC111133667	24.3855	25.8403	1.72058	0.406843	0.790776	33.7565	4.98834	21.7871	1.08073	1.75039	0.542457	0.564978	2.46244	1.43353	25.8387	0.400758	10.7899	0.719782	1.4878	4.31138	9.57424	24.7599	1.26727	1.07217	27.8861	26.6417
LOC111133668	7.44613	11.859770000000001	1.22105	0.523384	0.282032	13.0587	5.02677	8.24936	3.22972	3.40253	0.637599	1.16458	1.44514	7.78809	39.8043	2.41603	2.04314	6.80683	0.698032	20.04725	11.8178	40.037099999999995	0	5.44732	12.002758531000001	13.288300643730999
LOC111133669	5.13526	10.83211	8.18914	0.719951	2.5377799999999997	16.31371	10.21788	0.762316	0.508651	7.1955	1.55258	0	0.725306	13.275350000000001	4.90817	13.6782	39.58001	0	8.816897	9.25688	17.552300000000002	17.16404	4.27544	3.706371	37.227599999999995	0.417506
LOC111133670	10.7347	7.21373	7.97989	9.95974	19.9622	18.0529	6.62863	6.53063	11.0289	6.63362	17.3431	24.5734	10.6146	13.9983	11.7238	13.8476	8.13541	7.73442	10.0792	5.67277	9.23668	13.2233	8.4807	14.7244	16.4211	8.60491
LOC111133671	24.5435	26.6422	1.32949	0.673322	1.14228	9.44983	3.26726	16.1638	0.550394	0.486905	0.320642	0.587728	1.12131	0.833301	28.5954	1.40456	1.11748	1.26661	1.98186	9.66612	9.36659	21.6017	1.24466	1.46231	17.5764	24.2801
LOC111133672	24.2706	22.95	15.6477	24.1222	24.0111	32.147	13.8626	23.4637	20.3624	29.6262	21.599	21.9605	21.1739	21.6467	26.7163	22.2185	9.07077	16.3412	17.4823	6.50923	12.1858	24.8377	22.623	31.0622	27.2154	26.8806
LOC111133674	14.2804	11.3501	4.25778	8.25667	13.2056	18.0151	7.33964	18.5709	8.88737	11.7667	10.2358	8.8108	8.5476	6.75717	18.5943	8.56102	7.10113	7.10952	9.75871	9.52567	9.63619	17.5213	6.66329	4.84574	14.5673	17.1521
LOC111133675	32.1465	26.1667	0	0.407573	0	29.6279	2.64309	29.2982	0	0	0.361529	0	0.820127	1.36846	17.5527	0.401063	3.49403	0.356025	1.67859	5.39308	10.2982	16.5363	0.389049	0	26.0807	29.1845
LOC111133676	0	33.2123	0	0	48.91669	0	0	56.9529	0	109.46799	25.7312	59.9081	42.3422	0	0	0	0	97.96798	0	0	0	0	0	0	0	0
LOC111133677	12.3825	14.8881	0.191782	0.161494	0.456521	18.2631	2.81565	1.23259	0.732055	0	0.0956958	1.19609	0	0.392836	17.3321	0.2121	0.466224	0.222165	0.292389	2.83815	2.38697	14.4702	0	0	7.40455	18.449
LOC111133678	24.2883	16.6226	7.60001	11.923	21.0262	23.718	15.3756	19.7206	13.3642	18.3799	11.181	17.3779	18.3157	19.0504	22.2543	17.9937	9.32601	15.8638	14.8522	9.59193	10.5121	23.07	15.7241	10.2016	16.668	23.9123
LOC111133680	50.5798	49.8778	86.8706	15.2722	6.66482	54.1309	40.2651	42.3696	15.9273	4.16409	89.9771	4.84914	16.1181	53.9629	45.665	4.53465	89.0489	16.414	22.6407	79.5273	65.0651	58.8013	9.0436	27.7851	65.9639	32.4755
LOC111133681	29.448	25.4227	2.045845	1.27455	0.09460299999999999	28.5979	4.025465	28.21235	0.1668425	0.51593	2.37872	0.99123000000000006	2.056635	1.3751250000000002	29.20035	0.75322	7.126	1.35148	2.3940449999999998	5.42045	12.75845	29.2631	0.73268	0.10036500000000001	31.10335	28.536800000000003
LOC111133682	41.629599999999996	38.0298	60.9058	527.0700000012645	355.79114	41.22723	141.9782	26.10135	399.40302	364.16416	526.3090100000001	410.27592999999996	246.34713	117.359	40.452799999999996	307.76551	114.38809	306.09981999999997	286.06483000000003	114.6247	75.9006	42.9336	527.94818	463.09891000000005	46.2256	40.5521
LOC111133683	44.569	38.3594	25.0622	4.20992	4.69032	46.9276	29.24	38.6054	5.56554	4.24836	8.4053	6.24018	10.59324	10.28214	40.0346	10.70436	15.68954	15.97152	13.03816	9.21664	14.18566	36.6326	2.68098	2.85762	46.2054	45.2788
